,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant126,0.004178434630322389,0.003199166172942961,0.0031991661730766167,0.001431265996072249,3,16,C
Ant255,0.004517897800879866,0.002705864602298957,0.002705864602569302,0.0033001483735424766,3,16,F
Ant26,0.006942586293103644,0.005075514572214739,0.005075514572639483,0.0025732204239704193,3,16,F
Ant27,0.002844670868554369,0.0009911737734230935,0.0009911737736280702,0.00028601239158207524,3,16,F
Ant20,0.009414458644557432,0.01227536879645365,0.012275368795985907,0.0016734820520147163,3,16,N
Ant23,0.005753098399661097,0.006617028186662891,0.0066170281864467,0.0015675936545439053,3,16,N
Ant256,0.007090344620697906,0.00550219038709398,0.005502190387448065,0.002502433912891883,3,16,F
Ant137,0.009939543295087885,0.01500537563924993,0.015005375638433398,0.0022323802079759194,3,16,N
Ant334,0.0065272025406893875,0.008142769881499734,0.008142769881184739,0.0013868388878949427,3,16,N
Ant131,0.006754474225280363,0.008620293816062156,0.008620293815718789,0.0017338466416008359,3,16,N
Ant127,0.007330348615008491,0.004523422337300973,0.004523422337838464,0.003377185688109869,3,16,F
Ant560,0.006985860358544253,0.005570311917376038,0.00557031191764218,0.0034483672411006533,3,16,F
Ant564,0.007057573520598457,0.011080902735772167,0.011080902735044931,0.0006084214547161411,3,16,N
Ant243,0.008375141257245167,0.008381228214784063,0.00838122821485468,0.003132181206300525,3,16,C
Ant242,0.008623434548585284,0.012750319454532994,0.012750319453833482,0.000997633836894306,3,16,N
Ant245,0.001272760698305855,0.0002328337710772381,0.00023283377108753432,2.6762556385179152e-05,3,16,C
Ant244,0.004582689720953595,0.004098366439049851,0.0040983664390545835,0.002016568202121973,3,16,N
Ant51,0.008090974498043352,0.00797221667155214,0.007972216671658837,0.0039019900750064435,3,16,F
Ant50,0.00570121648270489,0.004560097704276912,0.004560097704491164,0.0013530625942572015,3,16,F
Ant53,0.013525434114365487,0.02173489971006736,0.021734899708757666,0.0016435219216115358,3,16,N
Ant52,0.011739289451900668,0.012079997759863906,0.012079997760077638,0.003612009872988293,3,16,C
Ant54,0.005559426530934054,0.004257405108217298,0.004257405108411653,0.005514674798782284,3,16,F
Ant57,0.005642184560996171,0.002811663936985105,0.0028116639374963573,0.001013202518278878,3,16,F
Ant59,0.009187695645490126,0.008388142259157298,0.008388142259358406,0.0033173399811134933,3,16,C
Ant331,0.006626950352965769,0.007343404551881404,0.007343404551754005,0.0027386520725685474,3,16,N
Ant390,0.005839001707513478,0.005857195775805247,0.005857195775725381,0.0020726521497244155,3,16,N
Ant308,0.007620232522312545,0.009098452963510216,0.009098452963330254,0.002735090897150763,3,16,N
Ant35,0.006295083036745699,0.00909983561167801,0.009099835611116148,0.0010808694932642586,3,16,N
Ant673,0.0049180519726712505,0.0035435566991793544,0.003543556699333863,0.0016602430407391224,3,16,F
Ant397,0.0073811936718803225,0.007169204517665368,0.007169204517797727,0.0026225425604318848,3,16,C
Ant149,0.005462829587162588,0.0030014543856362245,0.0030014543860366226,0.001418884013194885,3,16,F
Ant278,0.0059283586806914675,0.005073907015585925,0.005073907015738461,0.0018647496242056476,3,16,C
Ant301,0.007435751882509079,0.00954216317825999,0.009542163178005108,0.0018782347379499,3,16,N
Ant476,0.006447477380568611,0.004551054690810522,0.0045510546912207964,0.002262933553104069,3,16,F
Ant475,0.00835148150807665,0.007288761754517556,0.007288761754851026,0.00433726711347131,3,16,F
Ant380,0.012249020904499372,0.0070377130434830315,0.007037713044670603,0.0027341386682293266,3,16,F
Ant540,0.007853161982206371,0.010646845427605252,0.010646845427030533,0.0013648668861981296,3,16,N
Ant115,0.013758969468957365,0.017326259405179113,0.017326259404589695,0.003742395014527788,3,16,N
Ant576,0.00828455818654654,0.012082530780666303,0.012082530779965992,0.0015022606725085864,3,16,N
Ant43,0.010510172201097182,0.012380441843033385,0.012380441842685509,0.0037165648468165053,3,16,N
Ant44,0.004345463922195312,0.0027560423906138175,0.0027560423908481054,0.0011665879008723324,3,16,F
Ant48,0.00904419215568041,0.005991368004193429,0.005991368004856098,0.0047722898829033475,3,16,F
Ant580,0.0057345943180621885,0.008862987807750812,0.008862987807149,0.0003881723882811012,3,16,N
Ant501,0.006143913528986518,0.007994111075189346,0.007994111074791968,0.0013740107603219544,3,16,N
Ant663,0.013863076319092966,0.014983666116054523,0.014983666116075472,0.004387470790363882,3,16,U
Ant740,0.008166357149150727,0.007108355804159566,0.0071083558044737725,0.003153115237293745,3,16,C
Ant954,0.008551547700522955,0.010363406725352445,0.010363406725029464,0.0023174406225114153,3,16,U
Ant260,0.0066563992408266775,0.002998473683459465,0.002998473684103114,0.0018825238641207293,3,16,F
Ant264,0.006458549051574869,0.008987042747225329,0.008987042746712064,0.0009360732254622261,3,16,N
Ant159,0.006480185629084724,0.009556455414814716,0.009556455414227515,0.00031701392260573833,3,16,N
Ant158,0.00678962587957116,0.00898559991288795,0.008985599912390965,0.0008090670745321985,3,16,N
Ant220,0.0062736946695203825,0.007098398291464794,0.0070983982912972525,0.0014516718650052585,3,16,N
Ant391,0.00327001577643825,0.0010718291333071416,0.0010718291336093188,2.7036329741702276e-05,3,16,F
Ant509,0.013327506491413335,0.005425938789517704,0.005425938790726217,0.0019451033448140396,3,16,F
Ant9,0.007056228648395146,0.007703582275117307,0.007703582275066446,0.002488560328370545,3,16,N
Ant395,0.005662763249134073,0.0034072659682503246,0.003407265968556086,0.003712982049016999,3,16,F
Ant394,0.00799905881699306,0.008391161454817442,0.008391161454903076,0.0024652427205967883,3,16,C
Ant4,0.0034572958909060802,0.001242207494351758,0.0012422074947016231,5.047136303183983e-05,3,16,F
Ant7,0.009569155532465446,0.004994671640829444,0.004994671641821663,0.0028114485850225693,3,16,F
Ant6,0.006112838554368652,0.003824122727097756,0.0038241227275506422,0.0012248966399771599,3,16,F
Ant1,0.007083615956873583,0.007287093700282539,0.007287093700282932,0.0033739547838823464,3,16,C
Ant0,0.008222273407190483,0.005088730768126467,0.005088730768797371,0.0030953483408195704,3,16,F
Ant2,0.009507330192117507,0.01014389857242602,0.010143898572404157,0.003181949392371782,3,16,C
Ant482,0.005263011280776752,0.005560347583587674,0.005560347583574014,0.001445562340170798,3,16,C
Ant76,0.005324791305038503,0.0027961625030557408,0.002796162503458421,0.0015106454791782155,3,16,F
Ant74,0.007289540901145133,0.010446131718366315,0.010446131717795253,0.0012094050174429392,3,16,N
Ant72,0.006756555591145162,0.007887647919167028,0.007887647918889051,0.001621989912551892,3,16,N
Ant71,0.005472608532200616,0.0058954876091924955,0.005895487608999992,0.0020692665090289433,3,16,N
Ant70,0.009752412157132073,0.007886808593795386,0.00788680859410587,0.00433978353809704,3,16,F
Ant610,0.010659976618792808,0.017279603567354605,0.017279603566275937,0.001977384949785427,3,16,N
Ant592,0.0064905938528583155,0.006501475681211728,0.006501475681206082,0.0018520763584190924,3,16,C
Ant19,0.005307232092052246,0.003255112560059446,0.003255112560386233,0.00267448523604117,3,16,F
Ant614,0.007511761466187471,0.00869467008442031,0.008694670084194604,0.0018568146369276517,3,16,N
Ant15,0.004846895796424046,0.004894895220198586,0.004894895220147925,0.002190104091492765,3,16,N
Ant17,0.008147675373353775,0.010173449318532642,0.010173449318209616,0.001641716794198896,3,16,N
Ant13,0.006647274492252337,0.008904982450466932,0.008904982450002229,0.0007147443193111262,3,16,N
Ant12,0.008969335139462698,0.007707813145786054,0.007707813146120545,0.0033394835008883233,3,16,F
Ant97,0.016441232436270947,0.02403600928539195,0.024036009284147303,0.0040535670300315295,3,16,N
Ant96,0.007838150831278876,0.009193729913928646,0.00919372991359806,0.0015359417540510925,3,16,N
Ant169,0.004472850282999139,0.002541564917604437,0.002541564917890956,0.0016611049794062057,3,16,F
Ant298,0.0053819342892915175,0.005894187292707645,0.005894187292551379,0.0015055001332972588,3,16,N
Ant299,0.006831476008509238,0.00474540933823179,0.004745409338597128,0.004115110657651787,3,16,F
Ant296,0.006020626217782449,0.0036054795893108566,0.003605479589756284,0.002723026311827784,3,16,F
Ant398,0.007909445474842307,0.01219629552434288,0.01219629552360266,0.000987165627074904,3,16,N
Ant518,0.004293925487961449,0.0017671194461421694,0.0017671194465679386,0.0007921639643729474,3,16,F
Ant215,0.012580810844925986,0.010309569501322745,0.010309569501894385,0.004810240305887649,3,16,F
Ant210,0.004872888591920006,0.003447537510178822,0.0034475375103560344,0.0028190990214006133,3,16,F
Ant458,0.009061580903510467,0.006023868070780118,0.006023868071518298,0.002501725230862569,3,16,F
Ant218,0.007336174115213984,0.003740027162523667,0.003740027163143142,0.0026660064406149073,3,16,F
Ant219,0.007882108934912223,0.010359807039764983,0.010359807039241007,0.0008135886133412362,3,16,N
Ant68,0.0064515375782176945,0.007741575939317101,0.007741575939007408,0.0018946728795346277,3,16,N
Ant60,0.011613813466020027,0.01738217800475242,0.017382178003761562,0.0014437956977165747,3,16,N
Ant62,0.006542843517555248,0.008464159980319538,0.0084641599800185,0.0020104445914215143,3,16,N
Ant65,0.007052689052658962,0.00358514648336859,0.003585146484015859,0.0023945061889336142,3,16,F
Ant604,0.0082672713953131,0.012496622005534419,0.012496622004688466,0.00040901741499340825,3,16,Q
Ant607,0.0073648793399418095,0.009817918347139803,0.00981791834657453,0.0010615198122175152,3,16,N
Ant178,0.00543778456695343,0.006343233485563263,0.0063432334852958966,0.0016011251484662505,3,16,N
Ant289,0.005810829304781557,0.008065473908375321,0.008065473907883371,0.0007452335677490785,3,16,N
Ant81,0.005155294822559092,0.003365876724875077,0.0033658767251908027,0.0016531361583239108,3,16,F
Ant172,0.0059786438535590165,0.006891585871081811,0.006891585870803039,0.0011776295565020015,3,16,N
Ant176,0.005970482560390513,0.0036819716365115327,0.003681971636960404,0.0031633422698154083,3,16,F
Ant175,0.0067548351872717405,0.00811092100000821,0.008110920999794437,0.0013957589190541047,3,16,N
Ant207,0.006865075145818384,0.0033366240150907497,0.0033366240157737363,0.0011161383492588669,3,16,F
Ant206,0.005823840093519358,0.007139351397191661,0.007139351396859741,0.0011049026979509668,3,16,N
Ant599,0.008146971918990659,0.011808630199481938,0.011808630198773202,0.0008136928860990038,3,16,N
Ant38,0.00865730932214519,0.0052303734446581575,0.005230373445383948,0.0031362039637722046,3,16,F
Ant638,0.005028513900804505,0.0023523258709697344,0.002352325871336471,0.0016018163069427863,3,16,F
Ant32,0.0038228378536807606,0.0027334712335597548,0.0027334712337053176,0.0012781127630789922,3,16,F
Ant30,0.0071954930741500375,0.008766283306529517,0.008766283306260298,0.0018315483280682474,3,16,N
Ant632,0.004440298013120643,0.0022602039030078574,0.002260203903304899,0.0025020475638897165,3,16,F
Ant534,0.005215492257211486,0.003968590181072243,0.00396859018122362,0.0019771984529422873,3,16,C
Ant538,0.007069937901630232,0.004684879301948185,0.004684879302430331,0.003146312042211603,3,16,F
Ant109,0.0077164263989202625,0.007693220123079497,0.007693220123070298,0.003095024231719419,3,16,C
Ant238,0.004772143788109605,0.0019175257821505529,0.001917525782548977,0.0007029357888206325,3,16,F
Ant342,0.009122722598615358,0.005064363526815091,0.00506436352754579,0.0029418445917607002,3,16,F
Ant105,0.009513902784178943,0.013593375999936937,0.013593375999285106,0.002022933199094293,3,16,N
Ant102,0.003304543927170682,0.0012308924934577468,0.001230892493704883,0.000740220524335956,3,16,F
Ant347,0.004802570614407422,0.0062343172111985964,0.00623431721080861,0.0003446033124776518,3,16,N
Ant186,0.005546285229979244,0.004304567015307409,0.004304567015558605,0.002695501460369148,3,16,F
