,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.019846185069677738,0.012224335026691732,0.012224335029921943,0.005881854427116086,2,24,C
Ant356,0.010127903957169698,0.002315220740511913,0.0023152207422614565,0.0011028952745858708,2,24,N
Ant227,0.009436786932771269,0.00548717156827929,0.005487171569115828,0.004237551908703209,2,24,C
Ant114,0.004336999504357795,0.0021904623770836818,0.002190462377237172,0.004706497153663075,2,24,C
Ant112,0.010851765936100499,0.0136814718826534,0.013681471882555606,0.007700004851530689,2,24,F
Ant195,0.011724364584536181,0.007670822363862026,0.0076708223650392565,0.004546614860167268,2,24,C
Ant217,0.014617912160705413,0.03496848920636482,0.034968489201885646,0.00575222277964346,2,24,F
Ant492,0.007108641549637871,0.0017921220658501749,0.0017921220667189719,0.0019145409286918966,2,24,N
Ant324,0.008494255035930928,0.0041153729985251,0.004115372999400571,0.0038236715068872607,2,24,C
Ant650,0.01669085568129636,0.004519465970438569,0.004519465973214012,0.0036136633092210984,2,24,U
Ant556,0.01020591170483759,0.005591611910017325,0.00559161191125261,0.0038469649506041453,2,24,N
Ant552,0.010547414248539114,0.0027986902152566345,0.0027986902166212304,0.005303603421416083,2,24,N
Ant256,0.009784097016191396,0.020233513838529053,0.020233513836062266,0.006389199751199635,2,24,C
Ant257,0.0074813114108381725,0.002610991600696,0.0026109916016121876,0.005823761825386145,2,24,N
Ant126,0.024551669199016062,0.020581699681641877,0.020581699684210336,0.01556490317541681,2,24,C
Ant20,0.008850683017687815,0.008275438409925734,0.00827543841008277,0.008877578853471265,2,24,C
Ant137,0.008152576811757184,0.001715940005893434,0.001715940006844002,0.002556544154182145,2,24,N
Ant400,0.010929765412934776,0.003487250918814507,0.0034872509201590365,0.004140375116755593,2,24,N
Ant647,0.002318372348918023,0.00012705772351640236,0.00012705772361903392,1.2526653095622735e-05,2,24,C
Ant560,0.008322151287002028,0.001844306566291643,0.0018443065672383262,0.0029758787305881646,2,24,N
Ant564,0.014331765031892115,0.04455778345527416,0.0445577834487961,0.003581341928375094,2,24,C
Ant243,0.008583074551604895,0.020045533017658868,0.02004553301453797,0.0006993768743705258,2,24,F
Ant244,0.0101835477982363,0.004309533612085134,0.004309533613438897,0.003944409303646605,2,24,N
Ant50,0.013372866656329063,0.003770665222261884,0.0037706652241022687,0.004005842132305469,2,24,N
Ant52,0.006883258703327203,0.001288654067276743,0.0012886540680146696,0.001783932555296127,2,24,N
Ant55,0.01472929152688602,0.03374220657086215,0.0337422065663855,0.009706867402096713,2,24,F
Ant140,0.01666873538094748,0.018671863359990083,0.01867186336089003,0.005605937851337357,2,24,C
Ant147,0.011763541492700763,0.002719106542014937,0.002719106543483932,0.0033124688487547967,2,24,N
Ant144,0.009854960957817419,0.00541939226893657,0.00541939226985577,0.005398728056380955,2,24,C
Ant305,0.01416346684633592,0.01146721651424137,0.011467216515590066,0.006876976611706141,2,24,C
Ant148,0.007692210542849576,0.002275102421663653,0.002275102422683371,0.0024609612066466,2,24,N
Ant673,0.009167856768309038,0.0037193020915826658,0.0037193020925458654,0.007234602347742514,2,24,U
Ant476,0.012008680794605136,0.0029333940918785336,0.0029333940935002373,0.003937905932224697,2,24,N
Ant575,0.008588561044944234,0.0054475729076213664,0.00544757290840512,0.0024589041525207994,2,24,C
Ant44,0.012657331260160195,0.002675348012645771,0.0026753480141460807,0.004466925225321038,2,24,N
Ant665,0.007707752846752299,0.0015940158302386912,0.001594015831088156,0.0018463114465764544,2,24,U
Ant6,0.010990814734123217,0.00756240590778398,0.007562405909085389,0.007365360856132176,2,24,C
Ant262,0.007308998002392599,0.005638573060801277,0.0056385730613981505,0.0027730800734514093,2,24,C
Ant265,0.016110497577328832,0.014918266943024621,0.014918266944250955,0.010425308559148812,2,24,C
Ant268,0.03709379483278633,0.08054435439134996,0.08054435438136248,0.024635572645625336,2,24,F
Ant395,0.008136117666734834,0.00420612620551996,0.004206126206395192,0.004060897538029645,2,24,C
Ant502,0.00676449803507019,0.013835584077111421,0.013835584075349563,0.006830509927007051,2,24,C
Ant7,0.010736831521074755,0.008771233883924975,0.0087712338848553,0.004769239630773146,2,24,C
Ant398,0.014331306492022891,0.027742576481390894,0.027742576478080122,0.020092530369050374,2,24,F
Ant2,0.01069068389896401,0.011171064262915368,0.011171064263403741,0.003718167142036231,2,24,C
Ant72,0.01453215674700754,0.032570088537468025,0.03257008853385646,0.009783555449822425,2,24,F
Ant593,0.013717634522991818,0.0076352879492669985,0.0076352879509348345,0.0051274033053314095,2,24,N
Ant592,0.012520895248437905,0.0029098863761193214,0.002909886378471356,0.0009545591762899819,2,24,Q
Ant19,0.012507700175770357,0.00482971179182393,0.004829711793468911,0.004759785101371969,2,24,N
Ant599,0.011524831160359007,0.005735382090039439,0.005735382091589937,0.004512278614046748,2,24,N
Ant12,0.010884525855575429,0.031022472361300485,0.031022472356405966,0.0001225477777864558,2,24,F
Ant96,0.008274063761274385,0.004729698820152178,0.004729698821064262,0.005689521251406791,2,24,N
Ant169,0.010307368018346516,0.004667636246504957,0.00466763624799724,0.004839443484453631,2,24,N
Ant298,0.012983840941277263,0.005271730109444396,0.0052717301111331145,0.005474090469963054,2,24,N
Ant296,0.008284690903485789,0.0030054435118324935,0.0030054435127499944,0.002561911197892266,2,24,N
Ant294,0.01286249482062704,0.030090545529114276,0.03009054552474486,0.007171164642494973,2,24,F
Ant99,0.008559888239049709,0.0021896764261170962,0.0021896764272558503,0.0018047902444754313,2,24,N
Ant98,0.012154927583647541,0.0047644557202059495,0.0047644557217234665,0.006512114546511948,2,24,N
Ant518,0.012813983874275,0.014144520080307112,0.014144520081137906,0.003529627060490405,2,24,C
Ant215,0.015836016410910512,0.043056524399759356,0.043056524393532844,0.00195876860733685,2,24,F
Ant210,0.012466951958813925,0.007956811721908236,0.007956811722944223,0.00888820730924813,2,24,C
Ant219,0.008671188216234025,0.0018411493421622138,0.0018411493432402065,0.0015658104744007818,2,24,N
Ant332,0.01244440554539117,0.0029649258698229873,0.002964925871420915,0.005183080544205736,2,24,N
Ant161,0.009223391455417838,0.0025754626448279507,0.0025754626460145038,0.0030277161029448317,2,24,N
Ant60,0.009200308026080468,0.0024741747730913292,0.002474174774365272,0.003335559493387901,2,24,N
Ant62,0.005433886064222046,0.0015773115823921001,0.001577311582785728,0.0005611965265959119,2,24,N
Ant63,0.007838635214912314,0.002096165582362102,0.0020961655832377793,0.0009242225348937692,2,24,N
Ant65,0.006440257883840067,0.00408197159481216,0.004081971595250344,0.0017022669390691421,2,24,C
Ant604,0.008984101911422534,0.007403523369257383,0.007403523370138794,0.004963967893464488,2,24,C
Ant607,0.01761142376819754,0.05134442852316498,0.05134442851531685,0.0002709037048948914,2,24,F
Ant178,0.003108765344023869,0.004861430608506551,0.004861430607728606,0.00019973677271580942,2,24,C
Ant289,0.01230587904084,0.0193682218330362,0.01936822183179436,0.0182563009858219,2,24,F
Ant632,0.002808056669553806,0.0031324370400070945,0.0031324370395275484,0.001018751147109816,2,24,C
Ant172,0.009754542966145217,0.012917215302303213,0.012917215301809679,0.016577661271860895,2,24,F
Ant176,0.009447535131814998,0.028041024925849208,0.028041024921577146,0.0001873766716136971,2,24,F
Ant174,0.010919910330813487,0.004823780371667884,0.004823780373088271,0.0037047102271724626,2,24,N
Ant206,0.011208342309951266,0.002751800412583525,0.0027518004139735347,0.00370626884257046,2,24,N
Ant202,0.012908483088106364,0.03887134624964604,0.038871346243820624,0.0005324560855278503,2,24,F
Ant209,0.008975291600090342,0.002381293796538235,0.0023812937982029235,0.0010420147350937554,2,24,N
Ant15,0.00969078535304065,0.002545856454071552,0.002545856455237809,0.0027023752420369737,2,24,N
Ant638,0.014233903839931587,0.04496942372770162,0.04496942372105098,0.000474600084319773,2,24,F
Ant32,0.008647332791787105,0.0025781867629739857,0.00257818676398526,0.002012626721087303,2,24,N
Ant30,0.013683650029428179,0.004512641141300159,0.004512641143126015,0.010893825086487787,2,24,C
Ant35,0.012461007570038282,0.01144283573707682,0.011442835738035636,0.0037505825502186295,2,24,C
Ant232,0.01766516154461059,0.01453651661327586,0.014536516615000565,0.00473076756241807,2,24,C
Ant237,0.010251251260375606,0.003589003532787318,0.003589003534104613,0.003632262385432481,2,24,N
Ant342,0.012430373435209157,0.006779908180468526,0.0067799081815742126,0.005947321547366331,2,24,C
Ant105,0.009922124689013578,0.003757486950160898,0.0037574869514251197,0.004280387944571473,2,24,N
Ant102,0.00743069844388167,0.0015734450388926572,0.001573445039769386,0.0031786565738115206,2,24,N
Ant437,0.011167268419675257,0.010368850096997005,0.010368850097689215,0.004875334822286393,2,24,C
