,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.011333282215618691,0.01869925206633555,0.018699252065506655,0.0027590198479867938,1,01,U
Ant620,0.005718010500170836,0.0025575443834636538,0.0025575443838075198,0.0024058201333934316,1,01,N
Ant356,0.015943237059074696,0.027717575638626805,0.027717575637423084,0.0019296860050145419,1,01,F
Ant353,0.007268754581615887,0.005861814063271474,0.0058618140634513335,0.0030721560727799526,1,01,F
Ant540,0.008167949873271864,0.004525390938749163,0.004525390939266076,0.002669632687294809,1,01,C
Ant115,0.0053587160657322325,0.0026844160823632965,0.0026844160826713973,0.0014292419154485834,1,01,C
Ant117,0.008553823199727754,0.005859644831898596,0.005859644832297245,0.0037427683019989055,1,01,C
Ant113,0.00946519133410927,0.007742703442375251,0.007742703442618109,0.005175586801172677,1,01,C
Ant195,0.005018238036009671,0.004330341282749053,0.004330341282741261,0.0011702485788165915,1,01,F
Ant196,0.016742426265016992,0.02213215095664383,0.02213215095604385,0.006394112937818409,1,01,F
Ant191,0.011187392333012578,0.005176937829191048,0.005176937830007702,0.004234891875722718,1,01,N
Ant190,0.006524027549917213,0.002278435523189478,0.0022784355237066905,0.0006327564322251969,1,01,N
Ant198,0.007055159930142202,0.00636761228687504,0.0063676122869726955,0.0034797606228546573,1,01,F
Ant518,0.007200405283965839,0.008084878344131758,0.008084878343990281,0.002332983913450114,1,01,F
Ant318,0.011050374034158306,0.019661152135377963,0.019661152134129254,0.00021815586380619139,1,01,F
Ant492,0.011054152796505321,0.014913500598646679,0.01491350059814313,0.0040312503660775816,1,01,F
Ant324,0.008546143410177004,0.011851067601894444,0.01185106760139263,0.0014151634073580853,1,01,F
Ant552,0.008750840021037978,0.004245525275958006,0.004245525276528522,0.003990823621679066,1,01,N
Ant252,0.014710408390649533,0.021536202627169907,0.021536202626259472,0.0022865865760547865,1,01,F
Ant124,0.011077162464286014,0.010020291010541783,0.010020291010742229,0.006105473709761503,1,01,C
Ant257,0.009492735681674788,0.012235070652101181,0.012235070651734218,0.0020449643583756055,1,01,F
Ant255,0.01228148005131065,0.018116456021444533,0.018116456020808056,0.0023645349426714454,1,01,F
Ant26,0.007502384655068588,0.009031853170166942,0.009031853169961936,0.002214526500052181,1,01,F
Ant27,0.007878781378571289,0.004472063176636205,0.0044720631770273495,0.003471964169842359,1,01,C
Ant23,0.0072054525592592684,0.009371999909442614,0.009371999909133817,0.0024581683507246934,1,01,F
Ant29,0.009496104227488311,0.004231178304920544,0.004231178305580369,0.0018035930691304484,1,01,N
Ant482,0.005818725517899097,0.002941466207720677,0.002941466208031625,0.0024048860068349486,1,01,C
Ant137,0.007097037573615583,0.0025881126860214515,0.002588112686597822,0.001203799286324992,1,01,N
Ant332,0.00642442499235154,0.009748919809915454,0.009748919809335444,0.0004765317335916484,1,01,F
Ant131,0.009237917976609642,0.015255655733316845,0.015255655732667364,0.0015799954817611944,1,01,F
Ant127,0.005906911711059124,0.0030194671095451226,0.003019467109898274,0.001836401866690745,1,01,N
Ant139,0.005578504172398551,0.0019140501405367461,0.0019140501409320393,0.001327313088030687,1,01,N
Ant560,0.012171904761873796,0.018881386590160722,0.018881386589537436,0.004379881652939736,1,01,F
Ant564,0.00850135820768467,0.005214391755995823,0.005214391756413105,0.0035012398486867855,1,01,C
Ant243,0.00857971876231485,0.0049154656286932216,0.004915465629197267,0.0030970037750874505,1,01,C
Ant242,0.009477222467766415,0.003319104120849756,0.0033191041215861776,0.0013393287474986748,1,01,N
Ant50,0.009746663603610262,0.0038433882275449326,0.0038433882283138185,0.0019802188075239637,1,01,N
Ant52,0.009056777799477838,0.00408539142114326,0.0040853914218193016,0.0016981974475542263,1,01,N
Ant55,0.007624653599624538,0.004639594332371397,0.0046395943327598,0.002193154750457,1,01,C
Ant142,0.01263070695177095,0.01929260522689936,0.019292605225911776,0.0015556310374961458,1,01,F
Ant140,0.007648741253402404,0.004254698391508825,0.004254698391922385,0.0025612862758077467,1,01,C
Ant308,0.009087641821222335,0.009004079997461152,0.009004079997527323,0.00499306950145026,1,01,F
Ant148,0.009290953502517874,0.014790080143451846,0.014790080142646536,0.0009285253697001215,1,01,F
Ant149,0.009715779037010073,0.015744426474038696,0.015744426473167834,0.000903532633936332,1,01,F
Ant387,0.009687429326666958,0.009769176419050675,0.009769176419087058,0.004720392540618326,1,01,C
Ant380,0.004060700624747807,0.001393536292379491,0.0013935362926018608,0.001003435853463165,1,01,N
Ant462,0.008194422074638498,0.011734305398717273,0.011734305398183506,0.001422880613095622,1,01,F
Ant42,0.010327615477173388,0.005514788195576083,0.005514788196269893,0.0026584548278632335,1,01,C
