,PageRank,HubScore,AuthorityScore,Betweeness
Ant298,0.0209143584359991,0.02227434073866652,0.022274340737389958,0.009487999018672012
Ant140,0.019438276224600676,0.022610631406045783,0.022610631406723123,0.004152919878272294
Ant256,0.027515333507246737,0.031221703444116542,0.031221703446028894,0.03444493740075801
Ant621,0.02053575461039356,0.01969069561815409,0.019690695617869302,0.005379261854795482
Ant137,0.010248570903500124,0.009536380831099228,0.009536380831133992,0.0027571714267075565
Ant262,0.013382920082969521,0.013787664354114935,0.013787664354702545,0.005442698054943371
Ant332,0.018609206228034466,0.018741702941661595,0.018741702940546025,0.0061383088759132546
Ant289,0.014650338273885906,0.009388413416418771,0.009388413417836392,0.0035327872119113478
Ant172,0.022236571971365127,0.020502724519169332,0.02050272452063897,0.05933590847343641
Ant268,0.008581616320803426,0.004732097437240883,0.004732097437833933,0.00332517748040741
Ant209,0.013660022076392947,0.013851076127505161,0.01385107612661702,0.0021165231216923475
Ant176,0.022595025982698642,0.0238355349895475,0.023835534990193145,0.02086609244686201
Ant174,0.01994742007858177,0.01886706353570541,0.01886706353484706,0.00726914976035275
Ant560,0.013918212437890478,0.013668950849200846,0.013668950849383825,0.010231002844911255
Ant206,0.023452921120140004,0.026207931249346693,0.026207931247802446,0.011753263083340787
Ant564,0.021068466384954212,0.02594675376719088,0.025946753768613554,0.004914918766650394
Ant638,0.019578461228865668,0.012177467005439667,0.012177467007551084,0.0002973822318174075
Ant202,0.013323813033811395,0.007725566536739879,0.007725566538271495,0.0002973822318174075
Ant502,0.012195870687997153,0.012672528416683438,0.012672528417359302,0.031622909217881676
Ant6,0.020652975623530377,0.02337665898181854,0.023376658981498932,0.01083363238067414
Ant492,0.01824056996925976,0.019972674768261447,0.01997267476678098,0.0018982563340999281
Ant244,0.012811113307207004,0.011195706362712205,0.011195706362767507,0.005971458462663379
Ant2,0.009730391946444402,0.005661259459821115,0.005661259460827738,0.0
Ant195,0.022445397691894603,0.024490272968047552,0.024490272969103777,0.00619245032481713
Ant15,0.013944110613265443,0.01403740044138743,0.014037400440605469,0.002488121203458647
Ant52,0.011120979380397411,0.009479264913156427,0.009479264912763291,0.004702628804880453
Ant593,0.021457400470826022,0.02408591632770435,0.024085916328013476,0.00944522932353811
Ant592,0.017264683903377088,0.018001749201507253,0.018001749200115293,0.0008036403934658591
Ant356,0.01732097588203524,0.019212217649083235,0.019212217647732385,0.004942286144137606
Ant599,0.015087046833096324,0.0135691329834766,0.013569132982986827,0.010296449052220723
Ant19,0.021680738291986013,0.02266761981402091,0.022667619814226735,0.015644798703543673
Ant35,0.0140170962241114,0.013441498800277028,0.013441498800655096,0.008181782110189271
Ant604,0.021165851339446623,0.02554770714114438,0.02554770714280704,0.005912494550751636
Ant96,0.018721374349060876,0.020209278503042404,0.02020927850311344,0.004541454568368379
Ant169,0.018790894100068012,0.018746829175885212,0.01874682917519932,0.016956413670859684
Ant324,0.01769602599967303,0.01699088590316407,0.01699088590334189,0.005233303149660584
Ant296,0.017436870260710266,0.018893693995345646,0.018893693995318924,0.006367848622830961
Ant148,0.015722092238558177,0.015895485380085613,0.015895485379081007,0.005619640148152677
Ant673,0.021262438926358797,0.022572182027500935,0.022572182027407944,0.013196272825501103
Ant99,0.015334246674802324,0.01433414267603346,0.014334142675919107,0.007991532796674687
Ant98,0.02055640947841369,0.022238116935885732,0.022238116934568408,0.009328196550734923
Ant650,0.01953837619685521,0.021097502707394678,0.021097502706071747,0.002192742911889918
Ant476,0.021527077331831124,0.02446962731607589,0.024469627314818502,0.006451964103021692
Ant232,0.018846375430179,0.020311095983722077,0.02031109598437863,0.011119903806605585
Ant556,0.022410573093368552,0.024441271013632925,0.024441271011945678,0.005756520658378207
Ant210,0.021494362682636242,0.022046652333799287,0.022046652334234165,0.01680098063849719
Ant237,0.011721368246368179,0.010755581480097937,0.010755581479734906,0.0034090388596063385
Ant50,0.012277285254149653,0.012539636773573252,0.012539636773371436,0.006231098255574323
Ant552,0.012311266674764912,0.010464811252224948,0.010464811251970138,0.0037419129495985313
Ant102,0.012353208810504484,0.012106496847053318,0.012106496846308159,0.004535938208703935
Ant437,0.013579346521171503,0.012552773211623125,0.012552773212823923,0.012227434345124924
Ant126,0.024927799719328448,0.02209390012571748,0.02209390012804888,0.015252251481871695
Ant227,0.016288565005798783,0.010468892325435318,0.01046889232723646,0.0002973822318174075
Ant400,0.016045033796058823,0.016185567178221276,0.01618556717761989,0.008506081366151191
Ant60,0.02305539000160736,0.025247169075456197,0.025247169074152094,0.007962210841888836
Ant63,0.009530389781227446,0.0072845980617734455,0.0072845980615387365,0.0035321555031509236
Ant65,0.006027484026177343,0.003857524454130427,0.003857524454210876,0.0009631991302468599
Ant147,0.019753254333319176,0.02201797826665969,0.022017978265358916,0.0035867042130244753
