,PageRank,HubScore,AuthorityScore,Betweeness
Ant604,0.016381768848682105,0.018690900431562654,0.01869090043121424,0.007186880844339273
Ant256,0.01740719568285446,0.02033670403902557,0.020336704038139777,0.01944162470025321
Ant621,0.025077281113925907,0.027432092593821837,0.02743209259406325,0.00882008345195001
Ant137,0.00957265415062293,0.006166167713918907,0.006166167714132711,0.0019328220334524815
Ant262,0.007312836198829246,0.00515072237009949,0.00515072237013646,0.0011660982570213525
Ant400,0.017205502356154707,0.015291468099435995,0.015291468099837049,0.004107376855289492
Ant289,0.020372019156441514,0.01809127848524009,0.018091278484593222,0.01864409567771116
Ant172,0.021940426434222334,0.02517305473766694,0.025173054736753336,0.021201851887336788
Ant592,0.02126286611601006,0.016686902341979077,0.016686902342940412,0.00819692159147534
Ant268,0.015340420109084306,0.013413657359745734,0.013413657359127624,0.008905806334143647
Ant176,0.010057762672355237,0.0050262780734882185,0.005026278073078074,0.00021838867988357077
Ant174,0.016462989301717943,0.015363402473450383,0.015363402474107116,0.0044823933979799176
Ant560,0.018099835368750053,0.01984757714015274,0.01984757714017021,0.0045025900677350605
Ant206,0.020432016292814225,0.018844180520105357,0.018844180520838347,0.008410865625271035
Ant564,0.03182528386462281,0.03773345534069616,0.03773345533950613,0.019028393334527334
Ant638,0.01037212444922575,0.007952755067035133,0.007952755066484688,0.00021838867988357077
Ant202,0.006916787048672343,0.0027523429051920963,0.002752342904955541,0.0
Ant502,0.012381446793682836,0.012991899238025394,0.012991899237822695,0.005906383844937711
Ant599,0.014326571162826261,0.012397749434775111,0.012397749435050084,0.009104604195781173
Ant6,0.0207142433048826,0.023064912636887897,0.02306491263650462,0.0072731858345375395
Ant209,0.011296568031023843,0.007915418492696908,0.007915418493061665,0.0020482472937110455
Ant244,0.018449861969447538,0.021581713369303777,0.021581713369111185,0.007103633979659332
Ant2,0.015487041283848774,0.018306234260895594,0.01830623426021361,0.018697313118756755
Ant195,0.026512525944998106,0.033672938082026226,0.03367293808120293,0.00897717305718089
Ant50,0.014335384649869653,0.013383336728482152,0.013383336728768607,0.007583628902204325
Ant52,0.014472309184451483,0.009979127852605376,0.009979127853064937,0.0072087457092599476
Ant593,0.024210214863310254,0.02624642741469104,0.026246427415014654,0.007726445509493434
Ant356,0.012173271222594552,0.008583740986855354,0.008583740987331981,0.002313895618483748
Ant19,0.026224860866252198,0.028036112895365117,0.028036112895678273,0.010988811915319691
Ant15,0.01680559235839713,0.01676256898487263,0.016762568985314252,0.005718882008743894
Ant492,0.013246142340362888,0.011544915297818323,0.011544915298289202,0.003944534315965103
Ant140,0.02058893188595613,0.02480783368675637,0.02480783368613325,0.0046670741027913624
Ant96,0.011577061913160337,0.009063174070811754,0.009063174071055323,0.003244561773703976
Ant147,0.024926860566080265,0.023073636481417484,0.02307363648163264,0.012208573696976468
Ant298,0.023048756228255748,0.022045940941056025,0.02204594094176597,0.01065417655050699
Ant296,0.01194259367849727,0.012950352994285822,0.012950352994068907,0.0029522847641845094
Ant148,0.011089719049205412,0.008174010132772969,0.008174010133253331,0.003075265449904137
Ant673,0.012148842565617268,0.009373659489091473,0.009373659489422717,0.0035655047894433928
Ant99,0.02007226803394957,0.021302138296813898,0.02130213829719149,0.007418840031823048
Ant98,0.01619072598988667,0.014417734375628669,0.014417734376255261,0.0061638246912084195
Ant650,0.027640643303842867,0.025343075393625732,0.025343075394450215,0.00796738299643121
Ant476,0.014250941666529616,0.011232018821881165,0.011232018822293017,0.004029475051567325
Ant232,0.027922188308221157,0.03295311537906292,0.03295311537816068,0.006542408066823546
Ant556,0.02113068411169204,0.022418996630798466,0.022418996630825385,0.007099960187356533
Ant324,0.011385579640415363,0.011641746788406002,0.01164174678822939,0.007041448247981181
Ant210,0.018952071515716852,0.019804970703866394,0.019804970703687644,0.011350206780287012
Ant237,0.020033962982774062,0.022570368447450057,0.02257036844738989,0.0029406655947005786
Ant552,0.014717413166455804,0.013316590592882748,0.013316590593531377,0.0042836282485122675
Ant102,0.01230432939878453,0.009889402797042257,0.009889402797638924,0.003335733536922124
Ant437,0.015883113491552123,0.016091267575890116,0.016091267575542106,0.006616820727244767
Ant126,0.015405028751558766,0.01604151724705679,0.01604151724662521,0.017423346042276404
Ant227,0.029847602876122155,0.03846797916699067,0.038467979165705525,0.0050795482326706715
Ant332,0.014898089501649973,0.016811220953121923,0.01681122095309392,0.004312055070086641
Ant60,0.017600048290201814,0.014734293341003178,0.014734293341735857,0.004283003973497797
Ant63,0.013463833050390868,0.01545224374858337,0.01545224374873087,0.0034792285956633307
Ant35,0.01957470932068544,0.026255557734742696,0.02625555773366311,0.003281449460131326
Ant65,0.007313889454209986,0.004756836240623018,0.00475683624051965,0.002511505275370235
Ant169,0.01941430811765379,0.018590282600421004,0.018590282600891416,0.006920733269471436
